"A","B","C","D","E","G","H","I","J","K","L","M","N"
90.1885038915078,92.0645059646583,94.2056343923279,145.644027454923,109.304753665598,100.99323910481,211.771624009213,210.288870600024,208.766562670681,215.856471606837,199.628829822127,199.904704064362,201.519438006115
123.698247030183,123.930369056257,126.889618181872,164.298349270161,133.751602581748,146.238875857825,231.4580860314,234.312607180063,233.098312721295,233.285181597201,216.461248968613,216.660057215375,219.720237392314
142.742967656787,142.910765671775,136.335540093629,173.755530813157,146.757593499701,207.702051366749,250.93679304311,250.851005333263,249.137566154868,250.451947630816,227.161083050436,227.080241553809,230.939682694524
