"model","FH","MAE","MAPE","RMSE"
"BoxCox","One-steps",49.5562445504325,0.033911781461063,84.1554120851627
"corr","One-steps",49.5562445504325,0.033911781461063,84.1554120851627
"pca","One-steps",52.1963685959104,0.0363304398257059,87.6894258465229
"knn","One-steps",80.7402824265605,Inf,120.747741744887
"pls","One-steps",63.3764105504039,0.0414132899091454,96.4730110898199
"ridge","One-steps",57.1976800598449,0.0369353389149076,86.495870545047
"svmLinear2","One-steps",52.5620342369336,0.0345558264564126,86.0505630286944
"BoxCox","Two-steps",67.4551048157707,0.0582506798851531,105.417469302744
"corr","Two-steps",67.4551048157707,0.0582506798851531,105.417469302744
"pca","Two-steps",70.7326170270405,0.0530917366414467,109.569844842379
"knn","Two-steps",88.433036574334,0.0673301291658933,128.953972082226
"pls","Two-steps",80.0631279332659,0.0530579528612998,116.00972811821
"ridge","Two-steps",177.075426608864,0.121404568609852,264.55985873293
"svmLinear2","Two-steps",82.9111211987753,0.0550625841303521,119.986712948
"BoxCox","Three-steps",80.8234895978655,0.0629737774347495,122.753603987779
"corr","Three-steps",80.8234895978655,0.0629737774347495,122.753603987779
"pca","Three-steps",78.5202804928734,0.0629269047473119,120.83387872781
"knn","Three-steps",94.9727255952001,0.0711598650905349,137.485192957149
"pls","Three-steps",90.8663510417696,0.0599094291293028,130.999437745545
"ridge","Three-steps",835.773431851972,Inf,1748.87539108824
"svmLinear2","Three-steps",135.360699357498,0.0909643687830951,191.453765280562
