"model","FH","MAE","MAPE","RMSE"
"BoxCox","One-steps",113.880559600346,0.0729516740703462,153.379771275481
"corr","One-steps",113.953565179734,0.0728709283294886,153.371382828893
"pca","One-steps",113.470579904223,0.0728781023679772,153.5257236936
"knn","One-steps",121.872387384441,0.0781183824785051,159.552166836643
"pls","One-steps",109.152548537275,0.070217539652212,147.914100897556
"ridge","One-steps",109.185769225332,0.0702310297564999,147.896967195809
"svmLinear2","One-steps",108.67897024134,0.069474961975054,147.906887882975
"BoxCox","Two-steps",127.171009390695,0.0815671099638984,172.1774447876
"corr","Two-steps",127.967894539,0.0820035055508425,172.605333381352
"pca","Two-steps",128.278805590433,0.0823963304260855,172.936832736873
"knn","Two-steps",132.069423185941,0.0848400722669258,174.211975664409
"pls","Two-steps",123.244549652773,0.0796637599252504,168.234212675805
"ridge","Two-steps",123.057163562491,0.0795301859060473,168.112458114366
"svmLinear2","Two-steps",122.810777622388,0.0786307256364489,168.710115120926
"BoxCox","Three-steps",139.862963903518,0.0901815400019504,188.319154417294
"corr","Three-steps",141.435936506968,0.0910569559536574,189.702524909569
"pca","Three-steps",140.938926188151,0.090739780603374,189.202241283575
"knn","Three-steps",142.294742608582,0.0917870264335996,188.346852023594
"pls","Three-steps",135.198868357282,0.0875279503523942,181.355511745806
"ridge","Three-steps",134.730233775579,0.0871937440578921,181.135727242732
"svmLinear2","Three-steps",135.455232200267,0.0865293228824464,182.078946407135
