"model","FH","MAE","MAPE","RMSE"
"BoxCox","One-steps",62.2470830947634,0.0566755966148859,90.2377316970924
"corr","One-steps",63.3670661245074,0.0579035134541536,92.179100856547
"pca","One-steps",66.0620222576081,0.0600659417186914,94.5824140996513
"knn","One-steps",110.814007517411,0.092699828549378,150.145488892704
"pls","One-steps",80.2171925753009,0.074659044154929,110.221138356666
"ridge","One-steps",70.3503323796948,0.0641615686947155,98.3419660091405
"svmLinear2","One-steps",69.9035237757562,Inf,101.073414540399
"BoxCox","Two-steps",89.1843547215537,0.0766951611028474,125.551948312595
"corr","Two-steps",89.4680875990126,0.0769178243032562,125.769993885913
"pca","Two-steps",92.2669641222273,0.079476684608921,128.599363159295
"knn","Two-steps",124.395383735696,0.102278997542811,168.900205127808
"pls","Two-steps",99.5378843004368,0.0882185705783123,134.627421946596
"ridge","Two-steps",197.1427809277,Inf,290.968289515781
"svmLinear2","Two-steps",104.516895621316,0.0926876053118839,146.312497330819
"BoxCox","Three-steps",106.056487001692,0.0892103838727576,145.521839374029
"corr","Three-steps",104.963598632813,0.0887041226612192,145.241316584053
"pca","Three-steps",101.321867285834,0.0862641066553716,138.974218519378
"knn","Three-steps",132.088161140418,0.107206043546409,179.422632522186
"pls","Three-steps",110.563192132542,0.0971826184692573,147.541060105519
"ridge","Three-steps",692.986583050431,Inf,1325.82506736714
"svmLinear2","Three-steps",150.622836266497,Inf,207.634312583345
