"model","FH","MAE","MAPE","RMSE"
"BoxCox","One-steps",116.506920611669,0.0727557369746921,166.857284696565
"corr","One-steps",116.510679856558,0.072778301266789,166.851292785055
"pca","One-steps",116.121822260297,0.0728042632185566,165.86838977178
"knn","One-steps",125.707100769601,0.0779266280122157,174.798780173073
"pls","One-steps",114.924369020352,0.0744073670015547,163.619849324637
"ridge","One-steps",113.707737579131,0.0736639545257929,162.819708675459
"svmLinear2","One-steps",113.018854208298,0.0732192324611821,164.327595747365
"BoxCox","Two-steps",127.610592142741,0.0791191827277098,182.087657476008
"corr","Two-steps",127.944426460872,0.0791289142926907,182.406858232297
"pca","Two-steps",127.302171604217,0.0790557415777551,181.603525511823
"knn","Two-steps",133.428113726551,0.08259357991352,186.852126602576
"pls","Two-steps",125.47201568206,0.0793828539748983,176.048227575836
"ridge","Two-steps",123.3257887222,0.0778306594207872,174.417813274681
"svmLinear2","Two-steps",122.82354219097,0.0777140718705594,177.98866102575
"BoxCox","Three-steps",141.126856631324,0.088193226089911,196.944887886813
"corr","Three-steps",136.130257137238,0.083644913556263,192.658655003607
"pca","Three-steps",135.680549633692,0.0832162165294616,192.422549920689
"knn","Three-steps",137.556995550746,0.0851677292777497,192.217459639351
"pls","Three-steps",133.860112075076,0.0846035166632649,182.712354728183
"ridge","Three-steps",130.694922917204,0.0823771233028103,181.036819446976
"svmLinear2","Three-steps",128.872540862471,0.0814970538292695,183.849850943657
