Observed, 10 min ahead, 30 min ahead
1797.2,1691.60961914062,1683.08862304688
1325.8,1356.96862792969,1373.38696289062
1257.8,1216.11242675781,1180.64013671875
1098.8,1114.5078125,1091.68371582031
1271.9,1246.39636230469,1257.01489257812
1194.4,1216.23901367188,1267.04809570312
1367.6,1319.33044433594,1302.21459960938
1292,1307.15832519531,1299.49987792969
1447.7,1425.884765625,1383.58605957031
1800.3,1768.80456542969,1761.75280761719
1871.1,1828.45190429688,1756.77600097656
1697,1713.3037109375,1675.400390625
1599.7,1587.26123046875,1579.09655761719
1211.3,1207.40100097656,1285.91052246094
1093.4,1115.71667480469,1223.43444824219
1279.4,1244.13513183594,1224.81506347656
1441.3,1361.82189941406,1340.71166992188
1645.9,1619.79895019531,1496.7255859375
1718.1,1694.28186035156,1689.28430175781
1702.4,1692.84558105469,1612.20056152344
1516.4,1534.75561523438,1547.2890625
1805.8,1755.57543945312,1751.28295898438
1630.9,1591.48352050781,1641.40930175781
1547.6,1584.06701660156,1639.79833984375
1683.5,1744.73693847656,1742.56872558594
1776.3,1804.79443359375,1786.96704101562
1924.6,1936.56103515625,1882.7470703125
1884.7,1872.73864746094,1873.51245117188
1756.1,1710.97973632812,1658.2783203125
1398,1474.31372070312,1580.60314941406
1682.2,1694.67944335938,1690.99145507812
1758.3,1691.2724609375,1685.64990234375
1633.3,1648.37585449219,1677.50244140625
1644.2,1629.30065917969,1625.67236328125
1604.5,1592.71252441406,1602.63024902344
1671.1,1669.06958007812,1674.07641601562
1757.8,1753.5302734375,1752.41101074219
1798.4,1798.40246582031,1783.4130859375
1606.1,1644.85180664062,1659.43090820312
1805.1,1828.34985351562,1827.32458496094
1866.2,1868.37426757812,1855.80065917969
1892.2,1903.11645507812,1884.66381835938
1745.5,1762.70202636719,1763.41784667969
1804.4,1799.13781738281,1816.46862792969
1780.9,1770.58813476562,1797.40063476562
1728.1,1748.58972167969,1748.94421386719
1677.2,1700.75769042969,1721.66735839844
1866.9,1831.10192871094,1811.2919921875
1544.2,1532.13537597656,1528.76416015625
1599.6,1569.45092773438,1617.32104492188
1736.2,1695.83569335938,1731.96252441406
1906.6,1889.8349609375,1894.60388183594
1934.8,1929.36962890625,1905.59252929688
1958.6,1906.44946289062,1872.60729980469
1890.9,1845.93481445312,1849.0908203125
1613.7,1653.96240234375,1706.736328125
1990.1,1981.41687011719,1867.49633789062
1672.1,1684.48754882812,1684.13623046875
1996.6,2012.08923339844,1965.54614257812
1893.8,1880.84094238281,1936.06066894531
1985.6,1979.81457519531,1985.59887695312
1639.6,1671.21423339844,1774.32397460938
1908.1,1855.51123046875,1823.90185546875
1948.9,1931.958984375,1936.84057617188
1930.7,1980.60583496094,1970.61059570312
1877.2,1946.25537109375,1951.72790527344
1931.8,1955.12707519531,1959.29443359375
1732.4,1842.05639648438,1851.98937988281
1806.8,1817.73266601562,1894.17456054688
1720.6,1718.31518554688,1716.83776855469
1406.4,1429.20056152344,1535.98510742188
1314.8,1345.71337890625,1505.78393554688
1375.8,1383.06311035156,1370.95910644531
1626.2,1594.1337890625,1608.61938476562
1359.6,1286.66162109375,1445.74682617188
1015.6,1072.55529785156,1052.22314453125
1124.7,1124.884765625,1206.3447265625
999.9,1036.17895507812,1184.75598144531
1975.2,1870.88757324219,1864.5712890625
1278,1355.45959472656,1441.13818359375
1266.9,1440.89562988281,1491.02172851562
