"Observed","10-minutes-ahead","20-minutes-ahead","30-minutes-ahead"
1396.6,1458.80920410156,1416.70043945312,1459.0927734375
1536.9,1535.24731445312,1486.78369140625,1474.99230957031
1501,1444.42456054688,1480.92822265625,1469.02795410156
1540,1520.93115234375,1533.14428710938,1530.27514648438
1708.1,1646.40698242188,1645.50964355469,1617.68676757812
1605,1585.74572753906,1590.17846679688,1622.16638183594
1786.9,1761.57922363281,1756.78002929688,1779.5244140625
1824.2,1798.49865722656,1777.5498046875,1757.3798828125
1777.2,1726.62854003906,1724.73950195312,1665.95593261719
1591.3,1584.32666015625,1572.31005859375,1599.23059082031
1553.2,1553.40576171875,1527.5302734375,1538.12463378906
1510,1488.27954101562,1507.15405273438,1474.783203125
1335.2,1341.57104492188,1329.67553710938,1349.13244628906
1668.7,1648.60607910156,1617.03039550781,1648.33459472656
1773,1717.326171875,1735.07385253906,1737.78479003906
1628.5,1605.87109375,1660.58752441406,1605.51904296875
1691,1680.7275390625,1690.87573242188,1675.78100585938
1612,1615.86315917969,1615.23413085938,1580.01135253906
1676.7,1653.96252441406,1644.74987792969,1643.3681640625
1533.6,1499.82238769531,1477.72033691406,1484.40991210938
1465.1,1463.42846679688,1431.5703125,1456.81103515625
1669.5,1685.95397949219,1669.31164550781,1690.99816894531
1688.4,1681.72094726562,1687.20935058594,1672.02185058594
1766.7,1753.12512207031,1773.12353515625,1742.75720214844
1692.9,1745.23742675781,1739.0869140625,1749.15649414062
1866.1,1876.06274414062,1858.11828613281,1874.23327636719
1885.8,1887.14611816406,1870.29907226562,1890.90075683594
1775.2,1791.5107421875,1770.52355957031,1787.32739257812
1698.6,1687.84692382812,1748.70727539062,1693.013671875
1711.9,1745.81518554688,1710.56896972656,1696.78637695312
1694.5,1709.57666015625,1701.87902832031,1696.23876953125
1737.2,1719.07507324219,1719.13012695312,1724.35192871094
1692.4,1701.8544921875,1680.30163574219,1687.98583984375
1614.8,1612.64990234375,1596.48571777344,1591.0517578125
1430.7,1485.56787109375,1421.4833984375,1524.49938964844
1769.6,1746.95239257812,1741.60461425781,1731.51696777344
1844,1823.32531738281,1812.88488769531,1797.3818359375
1797.9,1790.49365234375,1812.66845703125,1797.35949707031
1738,1765.71142578125,1744.51696777344,1717.17639160156
1794.9,1819.37023925781,1763.74377441406,1807.28186035156
1582.9,1574.95166015625,1596.99072265625,1624.24157714844
1534.8,1524.73486328125,1571.13134765625,1613.97192382812
1819.5,1804.57800292969,1807.17163085938,1822.712890625
1647.7,1638.35021972656,1640.28381347656,1629.98608398438
1668.9,1673.9287109375,1659.0849609375,1596.20227050781
1475.1,1504.21069335938,1562.67785644531,1515.77600097656
1692.1,1695.24255371094,1705.35034179688,1715.23742675781
1784.1,1765.4970703125,1802.94030761719,1788.53063964844
1890.4,1886.95434570312,1865.09326171875,1885.15698242188
1776.3,1778.1708984375,1763.107421875,1788.01843261719
1758.2,1778.10913085938,1781.76184082031,1773.47351074219
1995,1981.06982421875,1944.49853515625,1993.80163574219
1836.2,1852.14416503906,1847.27624511719,1855.72265625
1967.1,1969.80944824219,1948.55895996094,1937.935546875
