"Observed","10-minutes-ahead","20-minutes-ahead","30-minutes-ahead"
1881.7,1897.43811035156,1898.32592773438,1914.54931640625
1927.1,1923.69201660156,1944.85473632812,1936.2587890625
1961.7,1970.92431640625,1972.35803222656,1984.2666015625
1970.8,2003.32788085938,2010.52868652344,2011.19067382812
1970.4,1991.42700195312,1993.796875,2011.72802734375
1751.2,1847.60559082031,1859.59350585938,1879.42431640625
1742.1,1786.42163085938,1772.49987792969,1776.19079589844
1703.6,1736.12316894531,1759.56628417969,1730.84143066406
1741.3,1748.02185058594,1745.58276367188,1727.66784667969
1305.7,1371.63244628906,1464.55236816406,1350.38452148438
1810.9,1767.25659179688,1764.13940429688,1750.26281738281
1907.8,1879.15441894531,1852.3623046875,1797.65930175781
1609.7,1636.8046875,1644.23608398438,1627.61059570312
1337.7,1325.66540527344,1361.94982910156,1358.83386230469
1690,1634.49523925781,1631.06774902344,1618.40209960938
1762.9,1772.28930664062,1736.283203125,1735.28515625
1499.3,1477.77355957031,1475.90563964844,1495.92578125
1868.4,1823.958984375,1816.29370117188,1855.7197265625
1926.9,1912.49450683594,1924.51342773438,1902.4228515625
1984.9,1996.22692871094,1932.23278808594,1975.7822265625
1594,1659.10986328125,1657.10339355469,1674.31604003906
1703.8,1731.08996582031,1726.11791992188,1743.97778320312
1909.8,1911.34790039062,1888.3759765625,1900.88806152344
1791.4,1714.22595214844,1740.36181640625,1730.33544921875
1556,1504.62646484375,1489.4521484375,1510.1923828125
1306.9,1350.83215332031,1405.41259765625,1486.19799804688
1609.2,1642.24877929688,1628.59069824219,1685.36303710938
1695.6,1713.17456054688,1707.10900878906,1706.41931152344
1353,1334.15747070312,1316.85327148438,1337.67395019531
1710.8,1680.48034667969,1634.73156738281,1666.6689453125
1721.4,1735.28674316406,1714.32421875,1731.18920898438
1888.5,1894.80041503906,1883.67248535156,1901.0107421875
1606,1621.67553710938,1632.52905273438,1683.41040039062
1655.8,1683.24597167969,1696.10754394531,1696.81811523438
1853.8,1808.63391113281,1834.533203125,1745.5634765625
1542.9,1537.04223632812,1576.15087890625,1644.78662109375
1531.6,1607.23120117188,1595.60119628906,1628.06652832031
1830.4,1819.208984375,1807.71264648438,1846.56188964844
1847.7,1826.24304199219,1822.36962890625,1846.54162597656
1589.8,1594.96960449219,1617.94421386719,1598.71496582031
1651.1,1650.88745117188,1646.54699707031,1662.10229492188
1574.2,1576.470703125,1595.49694824219,1621.00109863281
1439.8,1486.18212890625,1501.40930175781,1496.75219726562
1707.1,1708.96215820312,1717.37609863281,1708.37036132812
1679.4,1667.26013183594,1677.86083984375,1679.90588378906
1742.5,1625.74609375,1659.27172851562,1695.85009765625
1491.1,1401.40356445312,1376.50073242188,1655.72778320312
1186,1282.37780761719,1373.61169433594,1293.5947265625
1004.5,1141.43481445312,1209.30358886719,1268.63903808594
879,1029.24963378906,1205.70629882812,1281.13745117188
1066.6,1171.7177734375,1306.51635742188,1231.60913085938
1105.5,1157.85693359375,1374.27026367188,1287.05505371094
1311.9,1184.64013671875,1354.47326660156,1384.17749023438
1228,1126.61535644531,1315.099609375,1184.34423828125
1065.3,1079.63330078125,1232.51123046875,1262.08520507812
952.2,1098.75988769531,1288.6416015625,1321.23181152344
1039.2,1128.63830566406,1241.90661621094,1192.17407226562
1043.4,1098.4794921875,1221.93676757812,1173.53833007812
1230,1303.78845214844,1416.896484375,1419.04577636719
1333.8,1334.08117675781,1410.5732421875,1381.01513671875
1359.2,1318.89538574219,1403.43994140625,1393.7822265625
1322.4,1340.29748535156,1443.53161621094,1458.87426757812
1425.3,1507.9638671875,1485.2490234375,1537.45568847656
1539.9,1559.16723632812,1470.17114257812,1468.3330078125
1676.4,1583.76171875,1572.41015625,1504.92407226562
1580.2,1550.65197753906,1562.92041015625,1576.07287597656
1583.7,1569.8525390625,1554.56652832031,1533.91552734375
1681.2,1755.1142578125,1606.37353515625,1593.48107910156
1715.1,1737.62036132812,1730.89880371094,1746.77026367188
1670.4,1751.36572265625,1740.68859863281,1744.31530761719
1650.3,1708.45556640625,1703.32885742188,1666.8779296875
1473.2,1547.12121582031,1670.80383300781,1558.08557128906
1495.5,1552.27233886719,1520.54602050781,1540.60620117188
1576.5,1535.53491210938,1573.86462402344,1609.23608398438
1644.9,1567.28210449219,1560.01135253906,1565.1396484375
1697.4,1526.02612304688,1585.99853515625,1567.58703613281
1493.9,1468.81420898438,1524.712890625,1572.40075683594
1514.1,1451.79858398438,1514.21936035156,1465.20263671875
1479.6,1371.63256835938,1418.18298339844,1338.68859863281
1336.4,1301.40747070312,1438.66833496094,1391.06408691406
1594.9,1529.54846191406,1560.93212890625,1559.98010253906
1709.5,1512.61938476562,1498.24340820312,1492.958984375
1711.7,1570.69189453125,1590.01123046875,1579.4736328125
1823.4,1594.33068847656,1556.7607421875,1610.75988769531
1749.8,1723.10327148438,1682.25048828125,1637.19152832031
1828.7,1745.73852539062,1624.68481445312,1635.65637207031
