"Power","IMF1","IMF2","IMF3","IMF4","IMF5","Residue"
1243.2,-5.56862529074617,-89.2865410318006,61.038692417172,-67.7197220511301,-4.2392523131752,1348.97544826968
1212.9,-177.298481395854,-41.0482322365595,139.464800104446,-58.1217824528381,-3.28703859130344,1353.19073457211
1404.5,-130.258924656748,10.3641218894024,209.620746888134,-41.5287628388095,-1.57485679626565,1357.87767551429
1652.5,-1.35199233340832,63.9701553211911,250.979756971902,-24.8817122466848,0.716077057920356,1363.06771522908
1797.2,184.622746349601,75.7656132912445,178.468850377724,-13.8956570389581,3.43632123609748,1368.80212578429
1325.8,-115.928563413733,11.6156204122698,52.8811160268444,-4.11936219211231,6.22364493477885,1375.12754423195
1257.8,6.80774515483551,-46.933445258852,-100.784698004242,7.7377545102797,8.88899925155298,1382.08364434643
1098.8,-82.5579525331596,-32.5982310334372,-205.649890802556,18.6258764106805,11.2864779415656,1389.69372001691
1271.9,67.4663762254696,-1.47445136674923,-234.363572663651,29.0451280205412,13.2626599513285,1397.96385983306
1194.4,-50.8421281022198,0.85187203656124,-218.96508665336,42.0217925363594,14.4253429481548,1406.9082072345
1367.6,79.513639752637,-21.966844761902,-178.119340836752,57.5287270241806,14.1082607865778,1416.53555803526
1292,-63.5724000876853,-32.8109458948945,-122.733493744584,72.4885785881307,11.7973365703778,1426.83092456865
1447.7,-85.9238759876089,-16.6666222770907,21.2371217647269,83.8651120831142,7.43520931700024,1437.75305509986
1800.3,101.35701084521,17.2152527639824,147.022317776033,83.8347447914848,1.63694316613848,1449.23373065715
1871.1,86.5727350942188,39.8044382051619,224.57685966126,63.4281264382699,-4.47393653126707,1461.19177713236
1697,-18.6215858818147,36.8123677795948,188.353053775161,26.8666918441213,-9.96324014979656,1473.55271263273
1599.7,79.0582633728266,5.35376979240216,57.0353242362001,-13.7550323378832,-14.2540259750123,1486.26170091147
1211.3,-106.86243547307,-28.1637585577806,-85.0584813802401,-51.0981180881101,-16.784407547163,1499.26720104636
1093.4,-112.300518055795,-36.364912867284,-174.343933403222,-78.8342843752836,-17.2745133175653,1512.51816201915
1279.4,5.65097971040648,-17.3618759464929,-128.659075210107,-90.6358576203527,-15.5282368365958,1525.93406590314
1441.3,15.6752793860622,5.35341188014731,-20.5928592256678,-86.9686443503564,-11.5837654534053,1539.41657776322
1645.9,82.3508574368928,15.7829405995869,66.2480923813695,-65.361621972359,-5.98363186897197,1552.86336342348
1718.1,64.6859453898103,13.9426400734983,99.3009305547884,-26.439974218433,0.441499284915639,1566.16895891542
1702.4,45.5478795227839,-0.885076265794061,57.047137423268,15.1018650610442,6.36467520381369,1579.22351905488
1516.4,-138.576671047265,-2.27968656656701,10.7039366464409,43.5079926623113,11.1001051796101,1591.94432312547
1805.8,143.465438406405,7.6664293309673,-22.3680029431989,57.9612673713376,14.813281340502,1604.26158649399
1630.9,-48.2121340646346,2.25761332011936,-25.9208575761657,69.1350380337018,17.5391890748353,1616.10115121214
1547.6,-124.217094260986,-8.52617067973109,-46.7324199260594,80.4330930705936,19.2289592223257,1627.41363257386
1683.5,-13.4168008543748,-11.2472092202214,-38.1178899237861,88.3549934719414,19.7450320117797,1638.18187451466
1776.3,-8.89983850316503,-0.181246486803062,28.6303747575137,89.4455146098657,18.9099787298075,1648.39521689278
1924.6,96.338143880153,12.4707786291691,65.1079671039427,75.8713921492216,16.759859046943,1658.05185919057
1884.7,113.265367191416,13.6224555403749,31.7042784058639,45.0904602032878,13.8594406872144,1667.15799797184
1756.1,95.3933334962372,-8.64609491588897,-19.8721509057607,2.53620775669013,10.9680193905329,1675.72068517819
1398,-170.510735662076,-24.7365661246816,-60.6205888405741,-38.3479875986109,8.47474062228033,1683.74113760366
1682.2,97.411151379071,-1.11814181999613,-45.2537506899908,-66.4536588099488,6.38522566874606,1691.22917427212
1758.3,104.273124343447,15.9431778839573,19.1655396808459,-83.9305414230682,4.61729379577705,1698.23140571904
1633.3,-30.1090369033224,10.3764557588535,33.0654159064567,-87.8503008005675,3.0100864750798,1704.8073795635
1644.2,-14.8786320661707,-3.88977411657742,25.0936110356574,-74.5877118437326,1.43182997796533,1711.03067701286
1604.5,-52.4338911371658,-7.92781662275838,3.56965613990342,-55.2413318964456,-0.454050291685852,1716.98743380815
1671.1,-19.5242548903156,0.476336552989583,10.7083115856718,-41.0881857468656,-2.23520345728651,1722.76299595581
1757.8,52.1641393626875,11.907231932066,-3.66177380030847,-27.7117322495474,-3.36055587756369,1728.46269063267
1798.4,81.9299370225538,5.34818224942993,-12.2622616502875,-6.97430977662811,-3.85706531689841,1734.21551747183
1606.1,-110.036583620708,-12.4966241544828,-26.2150775576657,18.6055332974526,-3.86858574757731,1740.11133778298
1805.1,29.627545351103,-7.02041971328629,-0.815985797445574,40.6572198031362,-3.57313777254479,1746.22477812904
1866.2,49.2772740736227,6.94110537524636,5.68365678805893,55.2923663402277,-3.6310363002264,1752.63663372307
1892.2,39.0636746773323,7.21855470900419,27.874178977954,63.808979798285,-5.18483341837473,1759.4194452558
1745.5,-66.7926868987752,0.806943864073723,-6.02181992254843,60.1847379842352,-9.29704179340538,1766.61986676642
1804.4,14.4993743263238,-6.43657198195043,-4.22144586744858,43.081722881582,-16.7282642224462,1774.20518486394
1780.9,43.5214915726865,-10.6893934015207,-28.3735584960384,21.580471568301,-27.1792128758509,1782.04020163242
1728.1,-42.1454937797585,-4.31348303803262,25.6718305436369,-1.87523690698898,-39.1661838824389,1789.92856706358
1677.2,-85.0204762147343,14.4578195326634,23.5557570268684,-23.2976433786238,-50.1415888437957,1797.64613187762
1866.9,132.159612015759,17.0048297860894,11.4420599221469,-41.1827880854816,-57.496969323867,1804.97325568535
1544.2,-110.174678602273,-9.81102467350932,-39.7963984408745,-47.8798685290719,-59.863673167372,1811.7256434131
1599.6,-62.1495792829207,-18.2234728460219,-42.1341161793957,-38.5176140757533,-57.1373029290445,1817.76208531314
1736.2,3.77581677454582,-3.35258564089416,-19.5648178997434,-17.3382699882031,-50.2929089573976,1822.97276571169
1906.6,62.9540177938954,14.9586577537063,35.1544333474757,7.11565190328074,-40.815942350664,1827.23318155231
1934.8,19.4968154115426,21.2952923335264,69.0895023287919,23.881295693076,-29.3723975304485,1830.40949176351
1958.6,80.8889361843707,3.20581031868356,30.2975829443067,27.9176296698347,-16.1151025502853,1832.40514343309
1890.9,71.5545035803941,-14.7894354604634,-20.2224187524256,22.6502419099186,-1.43906298753433,1833.14617171011
1613.7,-178.412557067835,-6.4244643724418,-64.0175480805282,15.7483621700882,14.2412377202783,1832.56496963044
1990.1,178.462151839481,9.56446346091538,-62.6943470339341,3.12136904972909,31.0627012828648,1830.58366140094
1672.1,-159.534832037102,-21.248872232059,-7.98759384258596,-14.9067706901571,48.6731783995404,1827.10489040236
1996.6,113.035517103685,-5.64212007088784,36.0324612861586,-34.7673573636045,65.9526319701936,1821.98886707445
1893.8,-69.0849151085371,49.0772695556836,67.4725799810783,-50.3918146990657,81.6481816331625,1815.07869863768
1985.6,115.211878228975,9.07604810904606,11.7888845348293,-50.6568349042118,93.9521578112796,1806.22786622008
1639.6,-121.297486628524,-43.6564284822903,-57.3978701789135,-34.6098783275585,101.230115481475,1795.33154813581
1908.1,89.2384751045351,-11.2990891108819,-47.7925467271791,-7.17996125033755,102.765422629127,1782.36769935474
1948.9,47.9069753043911,19.206368236169,-11.5606910109793,27.1845238726669,98.769751251984,1767.39307234577
1930.7,-16.5665938525149,10.4507393175662,33.4142705807285,63.2168970723717,89.6619452658174,1750.52274161603
1877.2,-39.9034332300858,-4.46985753210095,23.4146886203594,90.2037924101448,76.0502144312979,1731.90459530038
1931.8,48.1349416564499,-10.0013040543985,27.2483415694045,96.4098812346449,58.2894094308392,1711.71873016306
1732.4,-81.1556419668317,-0.310125917561852,9.89363864573714,76.5750717521632,37.2216176971415,1690.17543978935
1806.8,60.0611403640479,8.69627231006727,17.2381811172528,39.5439855947445,13.7501198584874,1667.5103007554
1720.6,101.60258628753,6.63387272999455,-19.0597541282859,-1.41315390210837,-11.1099020439818,1643.94635105685
1406.4,-80.5313656098068,-18.4376333001229,-38.7229047079114,-39.3486817282053,-36.2968455628727,1619.73743090892
1314.8,-107.018300068068,-25.285412317742,-19.5320499739073,-67.7158128044649,-60.8011353532763,1595.15271051746
1375.8,-76.838036644216,40.0218224068802,13.8608470543588,-88.2455656162048,-83.4606887049465,1570.46162150413
1626.2,147.831264928867,102.024419714921,36.0522892569048,-102.959136147425,-102.685480531828,1545.93664277856
1359.6,8.46558603637856,35.1827296112527,15.3200828171834,-104.762284038153,-116.44706881584,1521.84095438918
1015.6,-119.03649479362,-126.993789154489,-22.6577630512654,-91.1519363890745,-122.964531088601,1498.40451447705
1124.7,92.0162095455802,-226.233299989958,-32.7832561615906,-62.4057281053439,-121.704034889535,1475.81010960085
999.9,-279.958341733731,-21.8962879677717,-8.60873113977872,-30.0211044067149,-113.801844493334,1454.18630974133
1975.2,360.256922158624,264.338427793234,21.3831458414625,-3.70957857613619,-100.666219055693,1433.59730183851
1278,-408.659815900894,307.185427257893,29.3811457728001,19.5839472853747,-83.555118040354,1414.06441362518
1266.9,-275.269652147345,151.376358425847,19.7431856571616,38.9884885244886,-63.5681523667776,1395.62977190663
1556.9,313.936424472371,-106.663397172895,-35.5576223842478,48.4755483150564,-41.6294743227012,1378.33852109242
1448.1,389.846172084484,-309.881848722833,-32.7606001080567,57.5276811241303,-18.8609212342709,1362.22951685655
702.6,-338.349746560373,-334.774462196363,-43.1526271237262,68.4721374635396,3.08942897608097,1347.31526944084
1651.6,277.130868073134,-70.6694187011585,24.0185599269351,64.2462763414109,23.2864902911841,1333.58722406849
1493.8,-228.915608355745,243.564545348055,73.5787764125351,42.7574804445747,41.7785358590631,1321.03627029152
1758.3,13.4713865565298,262.029693045115,100.960780684702,13.3471603889756,58.8250197390679,1309.66595958561
1685.3,206.013866305091,76.0818454182582,42.0453870328897,-12.5976961215122,74.2562282763923,1299.50036908888
1013.2,-205.679690568831,-94.4009294654265,-36.8111176364418,-27.8012447484629,87.3415896338653,1290.5513927853
1306.5,197.470213889873,-108.896172857137,-129.252999711101,-33.2731864446514,97.6416765430029,1282.81046858001
