"","10 min ahead","20 min ahead","30 min ahead"
"CEEMD--CORR--STACK",104.277315339665,140.971617750192,147.377490913038
"CEEMD--PCA--STACK",162.171371788049,175.8386860824,171.32693913809
"CEEMD--BC--STACK",114.582750222095,143.69395455064,162.636483247148
"CEEMD--KNN",229.749180638237,201.308639772832,229.933737907701
"CEEMD--SVRR",226.097228250206,237.022068923067,246.736091358365
"CEEMD--PLS",195.809647411066,263.348013028499,260.856735119746
"CEEMD--RF",127.132752094055,146.656402822025,156.404670497158
"CORR--STACK",214.022466699033,215.331862162904,208.248389912305
"PCA--STACK",225.446567750719,215.612656002536,215.596220489933
"BC--STACK",208.933122567561,217.22801510343,212.11137676895
"KNN",188.810561829322,217.473114110097,220.94275498476
"SVRR",230.496137726405,226.257250352566,220.181967981905
"PLS",175.474128580274,195.049977171814,218.452299329874
"RF",192.904571319417,197.503281051621,206.355270648895
